Id,sig,Color
n0,2.4290881800858695,#471264
n1,0.15107438230197195,#440255
n2,0.006736056767385102,#440154
n3,0.002710090063262723,#440154
n4,0.6053666259505742,#450558
n5,0.08869265418731137,#440255
n6,0.2947664658845831,#450356
n7,0.12589007934513452,#440255
n8,2.0561511981528247,#470F62
n9,0.2655869627192318,#450356
n10,0.010031293207264837,#440154
n11,0.5493569561667632,#450458
n12,1.6309975450838932,#470C5F
n13,0.5462365771901347,#450458
n14,0.0591680035476826,#440254
n15,0.694463747137878,#450559
n16,0.006257363943452909,#440154
n17,0.37718688181519183,#450357
n18,0.4801267305368704,#450457
n19,0.0035002223950240108,#440154
n20,0.08526110246359407,#440255
n21,3.0499698915790807,#481668
n22,1.3451189478044367,#460A5D
n23,0.6667731213636382,#450559
n24,0.03134663236070133,#440154
n25,0.058186986193296646,#440254
n26,1.0892794053249217,#46085C
n27,0.167443131735093,#440255
n28,0.029331029796929805,#440154
n29,0.26284734169911356,#450356
n30,3.1699793397664053,#481669
n31,3.4316773269307044,#48186A
n32,1.5761694964508035,#460C5F
n33,0.024920666022649883,#440154
n34,0.028115328268899575,#440154
n35,0.014339756552191366,#440154
n36,2.589190838749717,#471365
n37,1.909824723880076,#470E61
n38,0.37707377851692686,#450357
n39,1.3178349534987366,#460A5D
n40,4.384204921951565,#481E70
n41,1.0302463160425193,#46085B
n42,0.1931038431356726,#440255
n43,0.684458244664606,#450559
n44,2.7859042876116398,#481466
n45,6.883243554950647,#472D7B
n46,2.165831210367678,#471063
n47,1.2871282753089919,#460A5D
n48,0.44958648307690263,#450457
n49,0.006155462393734032,#440154
n50,0.07916653813949165,#440255
n51,0.8635333313525588,#46075A
n52,0.4818730489265597,#450457
n53,1.9630117663014743,#470E61
n54,0.06358392956310695,#440254
n55,3.071436421475459,#481668
n56,0.2805741915402719,#450356
n57,0.32969376193706534,#450356
n58,5.685901294160081,#482676
n59,0.7339107392740274,#450659
n60,0.07373067717573442,#440255
n61,0.02014616274797452,#440154
n62,2.4955326787017698,#471265
n63,0.2104549004663838,#440255
n64,0.00033613183480234594,#440154
n65,0.01423551903541573,#440154
n66,0.030119625968808718,#440154
n67,0.3870186494562939,#450357
n68,0.03934033284538589,#440154
n69,0.29895399634495473,#450356
n70,0.44371244180758856,#450457
n71,0.2525940068572043,#450356
n72,0.14364677684506957,#440255
n73,0.05707394591906459,#440254
n74,1.0691000836485005,#46085B
n75,0.21704853717089,#440256
n76,0.1079661433263672,#440255
n77,0.19095671940464806,#440255
n78,0.05256742613502422,#440254
n79,0.08297422608817004,#440255
n80,0.03031265854277726,#440154
n81,0.5096169140077362,#450458
n82,0.13729049333673263,#440255
n83,0.44482296936503457,#450457
n84,0.07764564438565669,#440255
n85,0.024743380513035554,#440154
n86,0.41568621127762184,#450457
n87,0.47527616577783477,#450457
n88,19.345706416882056,#2F6C8E
n89,16.793470586766997,#34618D
n90,29.006342010165923,#1F968B
n91,55.12910284743411,#FDE725
n92,27.029857567814172,#218E8D
n93,21.165785037972167,#2B748E
n94,24.144282469818904,#26818E
n95,27.988554908132745,#20928C
n96,34.40997614254504,#27AE80
n97,18.91639561529354,#306A8E
n98,17.81571341655854,#32658E
n99,27.66423213733949,#21918C
n100,17.430939768076072,#33638D
n101,16.43398824159481,#355F8D
n102,16.62300242765563,#34608D
n103,7.734203801980261,#46317E
n104,18.90230088103154,#306A8E
n105,24.844635961584718,#25848E
n106,26.225226202979737,#238A8D
n107,36.20693605122406,#31B57B
n108,33.44890499452598,#24AA83
n109,12.637657421263697,#3D4C8A
n110,18.856193142537656,#306A8E
n111,31.152291561857893,#1FA088
n112,20.602679084098003,#2C728E
n113,13.000675239444924,#3C4E8A
n114,13.519830566961486,#3B518B
n115,22.994837109962493,#287C8E
n116,24.340382874598788,#26828E
n117,12.892895999161135,#3D4D8A
n118,15.438822363764563,#375A8C
n119,26.439116904694767,#228B8D
n120,11.286717417776044,#404588
n121,28.627456515753508,#1F958C
n122,21.91369430765007,#2A788E
n123,26.021953529647664,#23898D
n124,15.723905615307096,#365B8D
n125,10.824404583045036,#414387
n126,0.48909778535396764,#450457
n127,0.7666704737658129,#450659
n128,3.027614208484907,#481668
n129,0.3626613758584485,#450357
n130,0.9074006636237588,#46075A
n131,0.012330005953253275,#440154
n132,1.2732463347600873,#46095D
n133,1.1908787454360175,#46095C
n134,0.10954897702311304,#440255
n135,0.12319035908962853,#440255
n136,1.6337603680142871,#470C5F
n137,0.0020269730051853587,#440154
n138,3.1398046337651895,#481669
n139,0.27341802548061483,#450356
